sentence,source,recognitionTarget,jmdictId
それは愚かな行動だった。,N1 2013-07 言語知識 問題1,愚か,
相手チームの巧妙な作戦に引っかかってしまった。,N1 2013-07 言語知識 問題1,巧妙,
町の公園は人々の憩いの場として親しまれている。,N1 2013-07 言語知識 問題1,憩い,
この製品は需要が高く、生産が追いつかない。,N1 2013-07 言語知識 問題1,需要,
道路の拡張工事によって、渋滞が緩和された。,N1 2013-07 言語知識 問題1,緩和,
工場の跡地が公園になった。,N1 2013-07 言語知識 問題1,跡地,
コピー代は、後で払うので、とりあえず立て替えておいてもらえませんか。,N1 2013-07 言語知識 問題2,立て替えて,
この問題の最終的な対応は、社長に一任することに決まった。,N1 2013-07 言語知識 問題2,一任,
疲れると、甘いものがなぜかむしょうに食べたくなる。,N1 2013-07 言語知識 問題2,むしょうに,
彼が自分の意見を強硬に主張したせいで、話し合いがちっとも進まなかった。,N1 2013-07 言語知識 問題2,強硬に,
こんな大事な取り引きは、入社2年目の社員には荷が重いだろう。,N1 2013-07 言語知識 問題2,荷が重い,2133020
お気に障ることを申し上げてしまったようで、申し訳ありません。,N1 2013-07 言語知識 問題2,気に障る,1221720
この数日ずっと雨で、窓も開けられないので、部屋がじめじめして気持ち悪い。,N1 2013-07 言語知識 問題2,じめじめ,
山田氏は著書で、従来の経営戦略について意見を述べている。,N1 2013-07 言語知識 問題3,従来の,
山田氏は著書で、これまでの経営戦略について意見を述べている。,N1 2013-07 言語知識 問題3,これまでの,
会議の資料はあらかじめお送りします。,N1 2013-07 言語知識 問題3,あらかじめ,
会議の資料は事前にお送りします。,N1 2013-07 言語知識 問題3,事前に,
彼は高校時代、数学の成績が抜群だった。,N1 2013-07 言語知識 問題3,抜群だった,
彼は高校時代、数学の成績がほかと比べて特に良かった。,N1 2013-07 言語知識 問題3,ほかと比べて特に良かった,
A社のバックアップを受けて、新しい事業を始めた。,N1 2013-07 言語知識 問題3,バックアップ,
A社の支援を受けて、新しい事業を始めた。,N1 2013-07 言語知識 問題3,支援,
彼の話を聞いて皆仰天した。,N1 2013-07 言語知識 問題3,仰天した,
彼の話を聞いて皆とても驚いた。,N1 2013-07 言語知識 問題3,とても驚いた,
ご説明の内容はおおむね理解できました。,N1 2013-07 言語知識 問題3,おおむね,1204410
ご説明の内容はだいたい理解できました。,N1 2013-07 言語知識 問題3,だいたい,1414470
手順を改善したら、業務が円滑に進むようになった。,N1 2013-07 言語知識 問題4,円滑,
A社はこの数年、小型パソコン市場において他社より優位に立っている。,N1 2013-07 言語知識 問題4,優位,
父にしかられていたら、母が［わざとやったわけじゃないんだから］と言ってかばってくれた。,N1 2013-07 言語知識 問題4,かばっ,
わが社では、仕事の成果だけでなく、勤務態度も加味して社員を評価している。,N1 2013-07 言語知識 問題4,加味,
会議の開始時間を過ぎているのに、誰も来る気配がない。,N1 2013-07 言語知識 問題4,気配,
実験結果は、理論的な予測に完全に合致していた。,N1 2013-07 言語知識 問題4,合致,
