sentence,source,recognitionTarget,jmdictId
去年より利益がわずかに増えた。,N1 2011-07 言語知識 問題1,利益,
橋本選手の活躍で、なんとかピンチを逃れた。,N1 2011-07 言語知識 問題1,逃れた,
子どものおもちゃは、安全性を考慮して選ぶようにしている。,N1 2011-07 言語知識 問題1,考慮,
この辺りは視界を遮る物が何もない。,N1 2011-07 言語知識 問題1,遮る,
この説は科学的な根拠に乏しい。,N1 2011-07 言語知識 問題1,根拠,
何事も初めが肝心だ。,N1 2011-07 言語知識 問題1,肝心,
物置の隅で、ほこりまみれになっている古い人形を見つけた。,N1 2011-07 言語知識 問題2,まみれ,
木村さんとは共通の趣味があるので、いつも会話が弾む。,N1 2011-07 言語知識 問題2,弾む,
地域の実情に合った医療のシステムが求められている。,N1 2011-07 言語知識 問題2,実情,
その選手は、十年に一人の逸材だと言われている。,N1 2011-07 言語知識 問題2,逸材,
書類に不備があった場合、申請は受理されません。,N1 2011-07 言語知識 問題2,不備,
約300年前の絵画の修復が終わり、来月から公開される予定だ。,N1 2011-07 言語知識 問題2,修復,
経済だけでなく、法律にも詳しいのが彼の強みだ。,N1 2011-07 言語知識 問題2,強み,
この映画は画期的な手法で製作された。,N1 2011-07 言語知識 問題3,画期的な,
この映画は今までになく新しい手法で製作された。,N1 2011-07 言語知識 問題3,今までになく新しい,
あの企業は海外市場への進出をもくろんでいる。,N1 2011-07 言語知識 問題3,もくろんで,
あの企業は海外市場への進出を計画している。,N1 2011-07 言語知識 問題3,計画して,
問題を解決するために、もう少し手がかりが欲しい。,N1 2011-07 言語知識 問題3,手がかり,
問題を解決するために、もう少しヒントが欲しい。,N1 2011-07 言語知識 問題3,ヒント,
あの人の話はにわかには信じられない。,N1 2011-07 言語知識 問題3,にわかには,
あの人の話はすぐには信じられない。,N1 2011-07 言語知識 問題3,すぐには,1430610
この鍋は重宝している。,N1 2011-07 言語知識 問題3,重宝している,
この鍋は便利で役に立っている。,N1 2011-07 言語知識 問題3,便利で役に立っている,
中村さんは仕事に対していつもシビアだ。,N1 2011-07 言語知識 問題3,シビアだ,
中村さんは仕事に対していつも厳しい。,N1 2011-07 言語知識 問題3,厳しい,1262530
学校は地域と連携して生徒の安全を守っている。,N1 2011-07 言語知識 問題4,連携,
審判の判定に不服を唱えることはできない。,N1 2011-07 言語知識 問題4,不服,
自分の店を持つという夢が、とうとうかなった。,N1 2011-07 言語知識 問題4,かなった,
あの新人選手は目覚ましい成長を見せている。,N1 2011-07 言語知識 問題4,目覚ましい,
靴のひもがほどけないようにしっかりと結んだ。,N1 2011-07 言語知識 問題4,ほどけない,
部長が海外の支社に赴任するので、みんなで送別会を開いた。,N1 2011-07 言語知識 問題4,赴任,
