sentence,source,recognitionTarget,jmdictId
鈴木氏は当時を回顧して、次のように語った。,N1 2018-07 言語知識 問題1,回顧,
彼の話には多少の偽りがあると思われた。,N1 2018-07 言語知識 問題1,偽り,
私は特に嫌悪感は持たなかった。,N1 2018-07 言語知識 問題1,嫌悪感,
問題が解決するまで自粛することにした。,N1 2018-07 言語知識 問題1,自粛,
自分を戒めたいと思う。,N1 2018-07 言語知識 問題1,戒めたい,
この国の南側には、なだらかな丘陵地帯が広がっている。,N1 2018-07 言語知識 問題1,丘陵,
この商品は非常によく売れていて、どの店にも在庫がほとんどない状態だ。,N1 2018-07 言語知識 問題2,在庫,
企業の海外進出はリスクを伴うが、成功すれば利益は大きい。,N1 2018-07 言語知識 問題2,リスク,1141440
不景気が続いても父の会社が倒産しなかったのは、設立以来、堅実な経営を続けてきたおかげだ。,N1 2018-07 言語知識 問題2,堅実な,
品質の劣化を防ぐには、光を通さない黒い箱に入れて、光を遮断する必要がある。,N1 2018-07 言語知識 問題2,遮断,
久しぶりに帰省すると、町の様子ががらりと変わっていて、驚いた。,N1 2018-07 言語知識 問題2,がらりと,
中村さんの勝手な行動には強い怒りを覚えたが、友人になだめられて、少し気持ちが落ち着いた。,N1 2018-07 言語知識 問題2,なだめられて,
部長は昨日の会議で、新企画について大枠は説明したが、具体的な開始時期には言及しなかった。,N1 2018-07 言語知識 問題2,言及,
すみやかに片づけてください。,N1 2018-07 言語知識 問題3,すみやか,
できるだけ早くに片づけてください。,N1 2018-07 言語知識 問題3,できるだけ早く,
高橋さんの主張は漠然としていた。,N1 2018-07 言語知識 問題3,漠然としていた,
高橋さんの主張はぼんやりしていた。,N1 2018-07 言語知識 問題3,ぼんやりしていた,
妨害するつもりはなかったんです。,N1 2018-07 言語知識 問題3,妨害する,
じゃまするつもりはなかったんです。,N1 2018-07 言語知識 問題3,じゃまする,
池田さんは、いつもエレガントな服を着ている。,N1 2018-07 言語知識 問題3,エレガント,
池田さんは、いつも上品なな服を着ている。,N1 2018-07 言語知識 問題3,上品な,1354230
つかの間の休息だった。,N1 2018-07 言語知識 問題3,つかの間,
短いの休息だった。,N1 2018-07 言語知識 問題3,短い,
またしくじってしまった。,N1 2018-07 言語知識 問題3,しくじって,
また失敗してしまった。,N1 2018-07 言語知識 問題3,失敗して,
職人の巧みな技術によって、この器は作り出される,N1 2018-07 言語知識 問題4,巧み,
新入社員の全員が希望の部署に配属されるわけではない。,N1 2018-07 言語知識 問題4,配属,
労働者不足が深刻化し、政府が調査に乗り出した。,N1 2018-07 言語知識 問題4,乗り出した,
A大学の松本先生は、名前は以前からよく知っているが、面識はない。,N1 2018-07 言語知識 問題4,面識,
お渡しした資料は、私の論文の一部分を抜粋したものです。,N1 2018-07 言語知識 問題4,抜粋,
なぜ木村さんが私のことを嫌っているのか、私には心当たりがない。,N1 2018-07 言語知識 問題4,心当たりがない,2099690
