sentence,source,recognitionTarget,jmdictId
自分の将来について、他人には干渉されたくない。,N1 2020-12 言語知識 問題1,干渉,
田中選手は、最後まで粘って、ついに勝利を収めた。,N1 2020-12 言語知識 問題1,粘って,
手品師の巧妙なテクニックに観客から拍手が起こった。,N1 2020-12 言語知識 問題1,巧妙,
書類にミスがあったので、すぐに修正を促した。,N1 2020-12 言語知識 問題1,促した,
適切な措置によって、問題が拡大するのを防ぐことができた。,N1 2020-12 言語知識 問題1,措置,
スポーツを通じて、地域の振興を図りたい。,N1 2020-12 言語知識 問題1,振興,
商品の値段を間違えて表示していたため、お客さんからクレームが来た。,N1 2020-12 言語知識 問題2,クレーム,1045270
御社は新技術を導入することになった経緯についてお聞かせください。,N1 2020-12 言語知識 問題2,経緯,1251120
この映画のストーリーは、地球の歴史を描いた壮大なものだ。,N1 2020-12 言語知識 問題2,壮大な,
試験前の一週間は、朝から晩までみっちり勉強した。,N1 2020-12 言語知識 問題2,みっちり,
住民からの要望で、空き地に放置されたごみの撤去が行われた。,N1 2020-12 言語知識 問題2,撤去,
今年のマラソン大会は、天候不良により数日前から開催があやぶまれていたが、当日は無事に行われた。,N1 2020-12 言語知識 問題2,あやぶまれて,
注文していたテレビゲームが明日届くので、早く遊びたくてうずうずしている。,N1 2020-12 言語知識 問題2,うずうず,
それについてはエキスパートにも意見を聞いてみよう。,N1 2020-12 言語知識 問題3,エキスパート,
それについては専門家にも意見を聞いてみよう。,N1 2020-12 言語知識 問題3,専門家,
兄は手にした新聞の記事を凝視した。,N1 2020-12 言語知識 問題3,凝視した,
兄は手にした新聞の記事をじっと見た。,N1 2020-12 言語知識 問題3,じっと見た,
架空の人物を主人公にして物語を作った。,N1 2020-12 言語知識 問題3,架空,
想像のの人物を主人公にして物語を作った。,N1 2020-12 言語知識 問題3,想像の,
鈴木さんには、かねがねお目にかかりたいと思っておりました。,N1 2020-12 言語知識 問題3,かねがね,
鈴木さんには、以前からお目にかかりたいと思っておりました。,N1 2020-12 言語知識 問題3,以前から,
商品の原価が上がったが、販売価格への影響は当面ないだろう。,N1 2020-12 言語知識 問題3,当面,
商品の原価が上がったが、販売価格への影響はしばらくはないだろう。,N1 2020-12 言語知識 問題3,しばらくは,
彼はいつもぼやいている。,N1 2020-12 言語知識 問題3,ぼやいている,
彼はいつも愚痴を言っている。,N1 2020-12 言語知識 問題3,愚痴を言っている,
現代の広告業界において、これまでの手法はもはや通用しないだろう。,N1 2020-12 言語知識 問題4,もはや,
会を円滑に運営するためには、会員の協力が不可欠だ。,N1 2020-12 言語知識 問題4,円滑,
この薬を扱うときは、常に注意を怠ってはいけない。,N1 2020-12 言語知識 問題4,怠って,
大臣が汚職事件で失脚すると、国民の政治に対する不信感がますます高まった。,N1 2020-12 言語知識 問題4,失脚,
この劇場は2千人の観客を収容することができます。,N1 2020-12 言語知識 問題4,収容,
このレポートは実によく書けている。,N1 2020-12 言語知識 問題4,実に,
