sentence,source,recognitionTarget,jmdictId
今回の件については、大変遺憾に思っております。,N1 2021-07 言語知識 問題1,遺憾,
この門は常時閉鎖されている。,N1 2021-07 言語知識 問題1,閉鎖,
どんな時にも、周りへの心遣いを忘れてはいけない。,N1 2021-07 言語知識 問題1,心遣い,
彼は顔を真っ赤にして憤った。,N1 2021-07 言語知識 問題1,憤った,1504640
貧富の差が大きくなっているようだ。,N1 2021-07 言語知識 問題1,貧富,
治癒するには1か月程度かかる。,N1 2021-07 言語知識 問題1,治癒,
上司は私の提案を却下した。,N1 2021-07 言語知識 問題2,却下,
この子は好奇心が旺盛で、分からないことは何でも知りたがる。,N1 2021-07 言語知識 問題2,旺盛,
このテーブルは、脚の部分に美しい彫刻が施されている。,N1 2021-07 言語知識 問題2,施されて,
原油価格が高騰し、その余波が世界中に広がっている。,N1 2021-07 言語知識 問題2,余波,
目先の利益ばかり考えないで、もっと長期的に物事を捉えなければならない。,N1 2021-07 言語知識 問題2,目先,
小さなけんかがもとで、友達との関係がぎくしゃくしている。,N1 2021-07 言語知識 問題2,ぎくしゃく,
社長は、会社の将来をになう人材の育成に力を入れている。,N1 2021-07 言語知識 問題2,になう,
祖父は寡黙な人だったそうだ。。,N1 2021-07 言語知識 問題3,寡黙,
祖父は口数が少ないな人だったそうだ。。,N1 2021-07 言語知識 問題3,口数が少ない,
異なる意見が次々と出されて、会議は紛糾した。,N1 2021-07 言語知識 問題3,紛糾した,
異なる意見が次々と出されて、会議は混乱した。,N1 2021-07 言語知識 問題3,混乱した,
この様子だと、新薬の発売はかなりずれ込みそうだ。,N1 2021-07 言語知識 問題3,ずれ込みそうだ,
この様子だと、新薬の発売はかなり遅くなりそうだ。,N1 2021-07 言語知識 問題3,遅くなりそうだ,
中止の理由は、ろくに説明されなかった。,N1 2021-07 言語知識 問題3,ろく,1013290
中止の理由は、大してに説明されなかった。,N1 2021-07 言語知識 問題3,大して,
今回の開発計画は、これまでのものとはスケールが違う。,N1 2021-07 言語知識 問題3,スケール,
今回の開発計画は、これまでのものとは規模が違う。,N1 2021-07 言語知識 問題3,規模,
この町のりんご産業の発展は、大野氏の寄与によるところが大きい。,N1 2021-07 言語知識 問題3,寄与,
この町のりんご産業の発展は、大野氏の貢献によるところが大きい。,N1 2021-07 言語知識 問題3,貢献,
恐竜は環境の変化に対応できず、絶滅したと言われている。,N1 2021-07 言語知識 問題4,絶滅,
警察の素早い対応によって、逃走した犯人はその日のうちに逮捕された。,N1 2021-07 言語知識 問題4,素早い,
彼に仕事を頼んだら、露骨に嫌な顔をされた。。,N1 2021-07 言語知識 問題4,露骨,
証明書の交付が必要な人は、こちらで手続きしてください。,N1 2021-07 言語知識 問題4,交付,
彼は家族の忠告も聞かず、かたくなに自分の考えを押し通した。,N1 2021-07 言語知識 問題4,かたくな,
うちの犬は私の友人にとてもなついている。,N1 2021-07 言語知識 問題4,なついている,
