sentence,source,recognitionTarget,jmdictId
ある画家の人生の軌跡を描いた映画を見た。,N1 2023-12 言語知識 問題1,軌跡,
ここに書いてある情報には偏りがある。,N1 2023-12 言語知識 問題1,偏り,
<ruby>村上<rt>むらかみ</rt></ruby>氏の主張にはさまざまな矛盾が含まれている。,N1 2023-12 言語知識 問題1,矛盾,
事実が誇張されて伝わる。,N1 2023-12 言語知識 問題1,誇張,
この食堂で社員全員の昼食を賄っている。,N1 2023-12 言語知識 問題1,賄って,
軽率な行動が批判を招いた。,N1 2023-12 言語知識 問題1,軽率,
そのチームは、名門チームが多数出場する中で、初出場で優勝という快挙を成し遂げた。,N1 2023-12 言語知識 問題2,快挙,
リーダーの無責任な発言が、混乱をさらに助長することになった。,N1 2023-12 言語知識 問題2,助長,
誰かを助けてあげたからといって、その分の見返りを求めてはいけない。,N1 2023-12 言語知識 問題2,見返り,
学内から選ばれた学生たちによって、代表チームが結成された。,N1 2023-12 言語知識 問題2,結成,
飛行機やホテルの予約、関係者との日程調整など、出張の手配はすべて秘書に任せている。,N1 2023-12 言語知識 問題2,手配,
入院生活をして、健康の大切さをつくづく感じた。,N1 2023-12 言語知識 問題2,つくづく,
<ruby>高木<rt>たかぎ</rt></ruby>さんは入社当初は表情が硬かったが、だんだん緊張がほぐれてきたらしく、笑顔を見せるようになった。,N1 2023-12 言語知識 問題2,ほぐれて,
自分の尺度を持ったほうがいい。,N1 2023-12 言語知識 問題3,尺度,
自分の基準を持ったほうがいい。,N1 2023-12 言語知識 問題3,基準,
わずらわしい仕事をやることになってしまった。,N1 2023-12 言語知識 問題3,わずらわしい,
面倒な仕事をやることになってしまった。,N1 2023-12 言語知識 問題3,面倒な,
<ruby>池田<rt>いけだ</rt></ruby>さんには会えたが、肝心な話はできなかった。,N1 2023-12 言語知識 問題3,肝心な,
<ruby>池田<rt>いけだ</rt></ruby>さんには会えたが、重要な話はできなかった。,N1 2023-12 言語知識 問題3,重要な,
今週は仕事がはかどりました。,N1 2023-12 言語知識 問題3,はかどりました。,
今週は仕事が順調に進みました,N1 2023-12 言語知識 問題3,順調に進みました,
新人のときはずっと辛抱していた。,N1 2023-12 言語知識 問題3,辛抱,
新人のときはずっと我慢していた。,N1 2023-12 言語知識 問題3,我慢,
この地方のしきたりについて話を聞いた。,N1 2023-12 言語知識 問題3,しきたり,
この地方の慣習について話を聞いた。,N1 2023-12 言語知識 問題3,慣習,
家計の見直しをして、保険を解約することにした。,N1 2023-12 言語知識 問題4,解約,
村の特産の黄色いりんごを使った料理をごちそうになった。,N1 2023-12 言語知識 問題4,特産,
友人たちから、どうして約束を破ったのかと問い詰められた。,N1 2023-12 言語知識 問題4,問い詰められた,
台風によって壊れてしまった橋を改修している。,N1 2023-12 言語知識 問題4,改修,
大切なお客様がいらっしゃったので、手厚くもてなした。,N1 2023-12 言語知識 問題4,手厚く,
誰かがデマを流して、私たちをだまそうとしている。,N1 2023-12 言語知識 問題4,デマ,
