sentence,source,recognitionTarget,jmdictId
食品の腐敗を防止する。,N1 2024-07 言語知識 問題1,腐敗,
こちらのほうが粗いようだ。,N1 2024-07 言語知識 問題1,粗い,
これは、胃の粘膜を保護する薬です。,N1 2024-07 言語知識 問題1,粘膜,
医学の進歩によって、人々の寿命が延びた。,N1 2024-07 言語知識 問題1,寿命,
手紙の内容は、私を戒めるものだった。,N1 2024-07 言語知識 問題1,戒める,
誓約書に署名するとき、少し緊張した。,N1 2024-07 言語知識 問題1,誓約書,
今回の遺跡の発見は、これまでの説を根底から覆すものになりそうだ。,N1 2024-07 言語知識 問題2,根底,
1年でいちばん忙しい時期なので、休日を返上して働いています。,N1 2024-07 言語知識 問題2,返上,
外部からの問い合わせの電話は、用件を確認して担当者に取り次いでください。,N1 2024-07 言語知識 問題2,取り次いで,
新しい生活への期待と不安が交錯し、気持ちが落ち着かない。,N1 2024-07 言語知識 問題2,交錯,
トンネル工事が始まって1年になるが、地盤の弱い箇所があり、工事は難航している。,N1 2024-07 言語知識 問題2,難航,
会場は、人々の話し声でがやがやと騒がしく、アナウンスがよく聞こえなかった。,N1 2024-07 言語知識 問題2,がやがや,
登山に誘われたが、あまり経験がないので、みんなの足手まといになると思い、断った。,N1 2024-07 言語知識 問題2,足手まとい,
これはA社に委託することにした。,N1 2024-07 言語知識 問題3,委託する,
これはA社に任せることにした。,N1 2024-07 言語知識 問題3,任せる,
その話を聞いて、すがすがしい気分になった。,N1 2024-07 言語知識 問題3,すがすがしい,
その話を聞いて、爽やかな気分になった。,N1 2024-07 言語知識 問題3,爽やかな,
リフォームの費用を工面する必要がある。,N1 2024-07 言語知識 問題3,工面する,
リフォームの費用を用意する必要がある。,N1 2024-07 言語知識 問題3,用意する,
それは仕事の道具なんだから、ぞんざいな扱いをされては困るよ。,N1 2024-07 言語知識 問題3,ぞんざいな,
それは仕事の道具なんだから、雑な扱いをされては困るよ。,N1 2024-07 言語知識 問題3,雑な,1299240
男の子は父親の話をうなだれて聞いていた。,N1 2024-07 言語知識 問題3,うなだれて,
男の子は父親の話を下を向いて聞いていた。,N1 2024-07 言語知識 問題3,下を向いて,
悪天候による工事の遅れは、担当者にとって大きな打撃だった。,N1 2024-07 言語知識 問題3,打撃,
悪天候による工事の遅れは、担当者にとって大きなダメージだった。,N1 2024-07 言語知識 問題3,ダメージ,
何事も経済的な効率で判断するのが今の社会の風潮だ。,N1 2024-07 言語知識 問題4,風潮,
科学技術の急速な進歩は我々の生活に大きな変化をもたらした。,N1 2024-07 言語知識 問題4,もたらした,
<ruby>水野<rt>みずの</rt></ruby>氏は今朝の記者会見でした発言を、午後すぐに撤回した。,N1 2024-07 言語知識 問題4,撤回,
新規事業で生じた赤字は、別の事業の収益で補填することにした。,N1 2024-07 言語知識 問題4,補填,
この商品は発売以来、毎月50個程度コンスタントに売れている。,N1 2024-07 言語知識 問題4,コンスタント,
友人に自分の欠点をずばりと指摘されて、しばらく落ち込んだ。,N1 2024-07 言語知識 問題4,ずばり,
