sentence,source,recognitionTarget,jmdictId
駅前の店はどこも繁盛している。,N1 2010-07 言語知識 問題1,繁盛,
契約の内容については、こちらの書類をご覧ください。,N1 2010-07 言語知識 問題1,契約,
この国は、昔から貿易によって潤ってきた。,N1 2010-07 言語知識 問題1,潤って,
警備が手薄なところがないか調べた。,N1 2010-07 言語知識 問題1,手薄,
開発のために、古いビルが次々と壊されている。,N1 2010-07 言語知識 問題1,壊されて,
オリンピックが華々しく開幕した。,N1 2010-07 言語知識 問題1,華々しく,
この連載小説は全12話で完結する。,N1 2010-07 言語知識 問題2,完結,
会議で質問に答えられなくて困っていたら、課長がフォローしてくれた。,N1 2010-07 言語知識 問題2,フォロー,
この春、とうとう念願のマイホームを手に入れた。,N1 2010-07 言語知識 問題2,念願,
会議ではA案に賛成したが、本音を言えば、B案のほうがいいと思う。,N1 2010-07 言語知識 問題2,本音,
先方に協力を依頼したが、やんわり断られてしまった。,N1 2010-07 言語知識 問題2,やんわり,
当ホテルでは、全室禁煙です。,N1 2010-07 言語知識 問題2,当,2081170
新しいビジネスを始めるに当たっては、綿密な計画を立てる必要がある。,N1 2010-07 言語知識 問題2,綿密な,
彼はお金に関して、ルーズなところがある。,N1 2010-07 言語知識 問題3,ルーズ,
彼はお金に関して、だらしないなところがある。,N1 2010-07 言語知識 問題3,だらしない,
この職場にもかなりなじんできた。,N1 2010-07 言語知識 問題3,なじんで,
この職場にもかなり慣れてきた。,N1 2010-07 言語知識 問題3,慣れて,
あの兄弟はいつもお互いに張り合っている。,N1 2010-07 言語知識 問題3,張り合っている,
あの兄弟はいつもお互いに競争して。,N1 2010-07 言語知識 問題3,競争して,
ある日、わが家に朗報が届いた。,N1 2010-07 言語知識 問題3,朗報,
ある日、わが家にうれしい知らせが届いた。,N1 2010-07 言語知識 問題3,うれしい知らせ,
やっとわずらわしい作業から解放された。,N1 2010-07 言語知識 問題3,わずらわしい,
やっと面倒な作業から解放された。,N1 2010-07 言語知識 問題3,面倒な,
さっき、上司にいやみを言われた。,N1 2010-07 言語知識 問題3,いやみ,
さっき、上司に皮肉を言われた。,N1 2010-07 言語知識 問題3,皮肉,
この地区は古い住宅が密集している。,N1 2010-07 言語知識 問題4,密集,
間違ったことをしたと思うなら、潔く謝ったほうがいいよ。,N1 2010-07 言語知識 問題4,潔く,
この団体は先月発足したばかりです。,N1 2010-07 言語知識 問題4,発足,
休みの前の日の夜は、どこのレストランもにぎわっている。,N1 2010-07 言語知識 問題4,にぎわって,
今日の作業はひとまずこれで終わりにしよう。,N1 2010-07 言語知識 問題4,ひとまず,
海外旅行に行って、久しぶりの休暇を満喫した。,N1 2010-07 言語知識 問題4,満喫,
