sentence,source,recognitionTarget,jmdictId
この寺の周辺には樹木が茂っている。,N1 2016-07 言語知識 問題1,樹木,
将来のために様々な知識を蓄えておきたい。,N1 2016-07 言語知識 問題1,蓄えて,
この店は今月から商品の陳列の仕方を変更した。,N1 2016-07 言語知識 問題1,陳列,
今日の舞台は華やかで、観客を大いに楽しませた。,N1 2016-07 言語知識 問題1,華やか,
専門家に鑑定を依頼した。,N1 2016-07 言語知識 問題1,鑑定,
この雑誌にある情報は少し偏っている。,N1 2016-07 言語知識 問題1,偏って,
今回の事故から得た教訓をもとに、再発を防止するための対策を立てた。,N1 2016-07 言語知識 問題2,教訓,
林さんは服のセンスが抜群で、いつもすてきな服装をしている。,N1 2016-07 言語知識 問題2,センス,
A社は、開発した技術が流出するのを防ぐため、管理体制を強化した。,N1 2016-07 言語知識 問題2,流出,
どんな苦難に直面しても、最善を尽くすよう努めている。,N1 2016-07 言語知識 問題2,最善を尽くす,1878300
駅から博物館まではバスが頻繁に出ているので、ほとんど待たずに乗ることができる。,N1 2016-07 言語知識 問題2,頻繁に,
一日中歩いてへとへとに疲れたので、今夜はゆっくり休みたい。,N1 2016-07 言語知識 問題2,へとへとに,
母に相談したかったが、忙しそうだったので、なかなか話を切り出すことができなかった。,N1 2016-07 言語知識 問題2,話を切り出す,2836528
この文は主人公の心情を端的に表している。,N1 2016-07 言語知識 問題3,端的,
この文は主人公の心情を明白にに表している。,N1 2016-07 言語知識 問題3,明白に,1000220
わずらわしい作業がやっと終わった。,N1 2016-07 言語知識 問題3,わずらわしい,
面倒な作業がやっと終わった。,N1 2016-07 言語知識 問題3,面倒な,
私は小学校の同級生の名前をかろうじて思い出した。,N1 2016-07 言語知識 問題3,かろうじて,
私は小学校の同級生の名前を何とか思い出した。,N1 2016-07 言語知識 問題3,何とか,
彼は自尊心を取り戻した。,N1 2016-07 言語知識 問題3,自尊心,
彼はプライドを取り戻した。,N1 2016-07 言語知識 問題3,プライド,
これは私にとってささいな問題だ。,N1 2016-07 言語知識 問題3,ささいな,
これは私にとって小さな問題だ。,N1 2016-07 言語知識 問題3,小さな,
佐藤さんは少しとまどっているようだった。,N1 2016-07 言語知識 問題3,とまどって,1267100
佐藤さんは少し困っているようだった。,N1 2016-07 言語知識 問題3,困って,
マラソン大会当日は交通が規制され、一部の道路が通行止めになる。,N1 2016-07 言語知識 問題4,規制,
海外に留学する際には、現地の生活に役立つ情報を入手しておくといい。,N1 2016-07 言語知識 問題4,入手,
警察の素早い対応によって、逃走した犯人はその日のうちに逮捕された。,N1 2016-07 言語知識 問題4,素早い,
社長は今日の会議で、A社との契約問題が解決に至った経緯を説明した。,N1 2016-07 言語知識 問題4,経緯,1251120
佐藤氏は社長の地位を退いた後も、会社への影響力を持ちつづけた。,N1 2016-07 言語知識 問題4,退いた,1595084
A社は、会社が得た利益を自然保護活動を通じて社会に還元している。,N1 2016-07 言語知識 問題4,還元,
