sentence,source,recognitionTarget,jmdictId
あの態度には猛烈に腹が立った。,N1 2019-07 言語知識 問題1,猛烈,
彼女は病を克服して、職場に戻ってきた。,N1 2019-07 言語知識 問題1,克服,
崩れやすいので、運ぶときは気をつけてください。,N1 2019-07 言語知識 問題1,崩れやすい,
この薬にはウイルスの繁殖を抑える効果がある。,N1 2019-07 言語知識 問題1,繁殖,
サイトの履歴は残っていなかった。,N1 2019-07 言語知識 問題1,履歴,
夕日に赤く映える山を写真に収めた。,N1 2019-07 言語知識 問題1,映える,1600620
ガスが漏れると、センサーが感知して警報が鳴る。,N1 2019-07 言語知識 問題2,センサー,
彼はロケットを作って宇宙へ飛ばしたいという壮大な夢を実現した。,N1 2019-07 言語知識 問題2,壮大な,
その優しいメロディーは私の耳にここちよく響き、眠りに誘ってくれた。,N1 2019-07 言語知識 問題2,ここちよく,
兄は科学者として遺伝子の研究に従事している。,N1 2019-07 言語知識 問題2,従事,
葉書が届いたが、雨でインクが少しにじんで、読みにくかった。,N1 2019-07 言語知識 問題2,にじんで,
子どもにとってプレッシャーになるので、将来に過度の期待をするのは禁物だ。,N1 2019-07 言語知識 問題2,禁物,
社長になり、トップに立つ者の責任の重さをひしひしと感じている。,N1 2019-07 言語知識 問題2,ひしひしと,
A社のコンパクトな車がよく売れている。,N1 2019-07 言語知識 問題3,コンパクト,
A社の小型のな車がよく売れている。,N1 2019-07 言語知識 問題3,小型の,
無駄な経費は極力減らそう。,N1 2019-07 言語知識 問題3,極力,
無駄な経費はできるだけ減らそう。,N1 2019-07 言語知識 問題3,できるだけ,
彼は「あ、忘れてた」とつぶやくと、その場を去って行った。,N1 2019-07 言語知識 問題3,つぶやく,
彼は「あ、忘れてた」と小さな声で言うと、その場を去って行った。,N1 2019-07 言語知識 問題3,小さな声で言う,
目撃者の証言には不審な点があった。,N1 2019-07 言語知識 問題3,不審,
目撃者の証言には怪しいな点があった。,N1 2019-07 言語知識 問題3,怪しい,
何時間もグラウンドで練習していたので、ばててしまった。,N1 2019-07 言語知識 問題3,ばてて,
何時間もグラウンドで練習していたので、疲れてしまった。,N1 2019-07 言語知識 問題3,疲れて,
どんな厳しい状況でも任務をまっとうする覚悟がある。,N1 2019-07 言語知識 問題3,まっとう,1394780
どんな厳しい状況でも任務を完了するする覚悟がある。,N1 2019-07 言語知識 問題3,完了する,
以前に比べ、役所の手続きは簡素になりました。,N1 2019-07 言語知識 問題4,簡素,
がんの仕組みを解明することが治療薬の開発につながる。,N1 2019-07 言語知識 問題4,解明,
幼い兄弟が仲良く遊ぶ姿は見ていてほほえましい。,N1 2019-07 言語知識 問題4,ほほえましい,
健康のために一日に6キロを目安に歩くことにしている。,N1 2019-07 言語知識 問題4,目安,
大きな事件や事故は、その時代の社会の様相を反映している。,N1 2019-07 言語知識 問題4,様相,
首脳会議は冗談を交えた和やかな雰囲気で進められた。,N1 2019-07 言語知識 問題4,交えた,
