sentence,source,recognitionTarget,jmdictId
今回の大会では、若手の躍進が目立った。,N1 2014-07 言語知識 問題1,躍進,
計画をきちんと遂行することが大切だ。,N1 2014-07 言語知識 問題1,遂行,
作者の思いがこの一言に凝縮されている。,N1 2014-07 言語知識 問題1,凝縮,
どの親もわが子が健やかに育つことを願っている。,N1 2014-07 言語知識 問題1,健やか,
このセンターは、日本のがん研究の中枢を担っている。,N1 2014-07 言語知識 問題1,中枢,
介護制度の整備が遅れているという事実は否めないだろう。,N1 2014-07 言語知識 問題1,否めない,
雨の降らない日がこれ以上続ければ、農業に影響するだけでなく、日常生活にも支障を来すおそれがある。,N1 2014-07 言語知識 問題2,支障を来す,2830671
その空き地には、おびただしい量のごみが捨てられて、山のようになっていた。,N1 2014-07 言語知識 問題2,おびただしい,
この歌手は若者の間で絶大な人気を誇っている。,N1 2014-07 言語知識 問題2,絶大,
話し合いは平行線をたどり、結局一致点を見いだせなかった。,N1 2014-07 言語知識 問題2,たどる,1416690
弊社の採用試験では、筆記試験よりも面接にウエイトを置いています。,N1 2014-07 言語知識 問題2,ウエイト,1025680
当選した林氏は取材に対して、今回の選挙は終盤まで予断を許さない厳しい戦いだったと語った。,N1 2014-07 言語知識 問題2,予断を許さない,2838783
田中さんはいつも手際よくてきぱきと仕事を進めている。,N1 2014-07 言語知識 問題2,てきぱきと,
ユーザー登録済みのお客様は、このサービスが無償で受けられます。,N1 2014-07 言語知識 問題3,無償,
ユーザー登録済みのお客様は、このサービスがただでで受けられます。,N1 2014-07 言語知識 問題3,ただで,1538900
最近、山本さんは新しい仕事に打ち込んでいるらしい。,N1 2014-07 言語知識 問題3,打ち込んでいる,1581440
最近、山本さんは新しい仕事に熱心に取り組んでいるらしい。,N1 2014-07 言語知識 問題3,熱心に取り組んでいる,
できればもう少しストレートに言ってほしかったです。,N1 2014-07 言語知識 問題3,ストレート,
できればもう少し率直にに言ってほしかったです。,N1 2014-07 言語知識 問題3,率直に,
駅前に巨大スーパーができたらお手上げだ。,N1 2014-07 言語知識 問題3,お手上げ,
駅前に巨大スーパーができたらどうしようもないだ。,N1 2014-07 言語知識 問題3,どうしようもない,
この一年で収益は格段に増えている。,N1 2014-07 言語知識 問題3,格段,
この一年で収益は大幅にに増えている。,N1 2014-07 言語知識 問題3,大幅に,
操作方法はいたって簡単でした。,N1 2014-07 言語知識 問題3,いたって,
操作方法は非常に簡単でした。,N1 2014-07 言語知識 問題3,非常に,
すべての経費を一律に削減するのではなく、無駄なものから減らせばよい。,N1 2014-07 言語知識 問題4,一律,
友人へのプレゼントにするので、値段のシールをはがしておいた。,N1 2014-07 言語知識 問題4,はがして,
上司から海外赴任を打診されたが、なかなか心構えが決まらない。,N1 2014-07 言語知識 問題4,心構え,
度重なる発送ミスなどがもとで、顧客との信頼関係を損なってしまった。,N1 2014-07 言語知識 問題4,損なって,
子どもは泣きながら母親の足にしがみついて離れようとしなかった。,N1 2014-07 言語知識 問題4,しがみついて,
なんとか資金を工面して、ついに自分の店を持つことができた。,N1 2014-07 言語知識 問題4,工面,
