sentence,source,recognitionTarget,jmdictId
勇敢に戦う主人公に子どもたちは夢中だ。,N1 2022-07 言語知識 問題1,勇敢,
その件について、忠告すべきかどうか考えている。,N1 2022-07 言語知識 問題1,忠告,
チームの多くの選手が監督を慕っているようだ。,N1 2022-07 言語知識 問題1,慕って,
建物の入口は、夜間は施錠されている。,N1 2022-07 言語知識 問題1,施錠,
対策の結果、地盤の沈下は食い止められている。,N1 2022-07 言語知識 問題1,沈下,
激しい雪に阻まれて前に進めない。,N1 2022-07 言語知識 問題1,阻まれて,
子どもたちは軽快なリズムに合わせ、手をたたいたり、踊ったりした。,N1 2022-07 言語知識 問題2,軽快,
予習、授業、復習というサイクルを繰り返すことで、知識の定着を図る。,N1 2022-07 言語知識 問題2,サイクル,
当事者間では紛争が解決できず、第三者が仲裁に入った。,N1 2022-07 言語知識 問題2,仲裁,
そのいたずらは息子のしわざに違いない。,N1 2022-07 言語知識 問題2,しわざ,
完成間際のマンションに欠陥があることが発覚して、工事が中止された。,N1 2022-07 言語知識 問題2,発覚,
この温泉には肌にいい成分が含まれているので、入浴後は肌がすべすべになります。,N1 2022-07 言語知識 問題2,すべすべ,
議論がかみ合わなくて、話し合いは平行線をたどった。,N1 2022-07 言語知識 問題2,かみ合わなくて,
友人に触発されて、事業を始めた。,N1 2022-07 言語知識 問題3,触発されて,
友人に刺激されて、事業を始めた。,N1 2022-07 言語知識 問題3,刺激されて,
彼の言動にはほとんどの人が閉口している。,N1 2022-07 言語知識 問題3,閉口して,
彼の言動にはほとんどの人が困っている。,N1 2022-07 言語知識 問題3,困って,
彼は仕事を辞めてから、気ままな生活をしているようだ。,N1 2022-07 言語知識 問題3,気ままな,
彼は仕事を辞めてから、自由な生活をしているようだ。,N1 2022-07 言語知識 問題3,自由な,
6時発の飛行機には、若干空席があります。,N1 2022-07 言語知識 問題3,若干,1324330
6時発の飛行機には、いくつか空席があります。,N1 2022-07 言語知識 問題3,いくつか,
これは手分けしたほうがいい。,N1 2022-07 言語知識 問題3,手分け,
これは分担したほうがいい。,N1 2022-07 言語知識 問題3,分担,
林さんが、残った仕事をてきぱきと処理してくれた。,N1 2022-07 言語知識 問題3,をてきぱきと,
林さんが、残った仕事早く正確に処理してくれた。,N1 2022-07 言語知識 問題3,早く正確に,
物語の結末を知りたくて、分厚い本をひと晩で読んでしまった。,N1 2022-07 言語知識 問題4,結末,
料理の味も香りも彩りも食欲をそそる要素だ。,N1 2022-07 言語知識 問題4,食欲をそそる,2810660
この部屋なら、外部の音を遮断してピアノの演奏が録音できる。,N1 2022-07 言語知識 問題4,遮断,
被災地からの要請で、国から医療チームが派遣されることになった。,N1 2022-07 言語知識 問題4,要請,
憧れの歌手に会った時、緊張して動作がぎこちなくなってしまった。,N1 2022-07 言語知識 問題4,ぎこちなく,
他人を差別したりいじめたりすることは、断じて許されない。,N1 2022-07 言語知識 問題4,断じて,
