sentence,source,recognitionTarget,jmdictId
この広大な大地を潤すにはまだまだ不十分だった。,N1 2017-07 言語知識 問題1,潤す,
使う前に必ず熱湯で殺菌してください。,N1 2017-07 言語知識 問題1,殺菌,
これが私に託された仕事です。,N1 2017-07 言語知識 問題1,託された,
このコンサートホールは、舞台に向かって床が傾斜している。,N1 2017-07 言語知識 問題1,傾斜,
毎回のように反対派の人々に阻まれてきた。,N1 2017-07 言語知識 問題1,阻まれて,
秘密にしていたことを友人に暴露された。,N1 2017-07 言語知識 問題1,暴露,
この学校は教育の一環として、職業体験活動を授業に取り入れている。,N1 2017-07 言語知識 問題2,一環,
この商品は、特によく売れる時期というものはなく、毎月コンスタントに100個ほど売れる。,N1 2017-07 言語知識 問題2,コンスタントに,
中学でクラスメートだった石井さんと話しているうちに、昔の記憶がよみがえってきた。,N1 2017-07 言語知識 問題2,よみがえって,
林選手は、3度目のオリンピック出場で、ついに念願の金メダルを獲得した。,N1 2017-07 言語知識 問題2,念願,
鈴木さんに表彰状を贈り、永年の功績をたたえた。,N1 2017-07 言語知識 問題2,たたえた,1351230
今回のトラブルの原因は相手側にあって、池田さんには決して非はないよ。,N1 2017-07 言語知識 問題2,非,
以前はさまざまなジャンルの小説を読んでいたが、最近はもっぱら推理小説ばかりだ。,N1 2017-07 言語知識 問題2,もっぱら,
粘り強く交渉した。,N1 2017-07 言語知識 問題3,粘り強く,
あきらめずに交渉した。,N1 2017-07 言語知識 問題3,あきらめずに,1436730
入念に調査を行った。,N1 2017-07 言語知識 問題3,入念に,
細かく丁寧に調査を行った。,N1 2017-07 言語知識 問題3,細かく丁寧に,
本人もうすうす気づいていたと思う。,N1 2017-07 言語知識 問題3,うすうす,
本人もなんとなく気づいていたと思う。,N1 2017-07 言語知識 問題3,なんとなく,
この方法にも難点はある。,N1 2017-07 言語知識 問題3,難点,
この方法にも不安なところはある。,N1 2017-07 言語知識 問題3,不安なところ,
橋本さんはむっとしたようだった。,N1 2017-07 言語知識 問題3,むっとした,
橋本さんは怒ったような顔をしていたようだった。,N1 2017-07 言語知識 問題3,怒ったような顔をしていた,
すぐに照会したほうがいいですよ。,N1 2017-07 言語知識 問題3,照会した,
すぐに問い合わせたほうがいいですよ。,N1 2017-07 言語知識 問題3,問い合わせた,
松本課長が来月、部長に昇進することになったそうだ。,N1 2017-07 言語知識 問題4,昇進,
駅の案内所では、観光案内地図を無料で配布している。,N1 2017-07 言語知識 問題4,配布,
昔この地域に栄えていた文明は大災害によって滅びたという説がある。,N1 2017-07 言語知識 問題4,滅びた,
この団体は、留学生支援を目的に、昨年8月に発足した。,N1 2017-07 言語知識 問題4,発足,
今日の議会で、介護制度の在り方について問題を提起した。,N1 2017-07 言語知識 問題4,提起,
"「300,000円」と書いてあったのに、ゼロを一つ見落として3万円だと勘違いしていた。",N1 2017-07 言語知識 問題4,見落として,
