sentence,source,recognitionTarget,jmdictId
これから概略をご説明します。,N1 2014-12 言語知識 問題1,概略,
面接には、しっかりと準備をして臨みたいと思う。,N1 2014-12 言語知識 問題1,臨みたい,
昨日、督促の電話がかかってきた。,N1 2014-12 言語知識 問題1,督促,
春になり、辺りには花の香りが漂いはじめた。,N1 2014-12 言語知識 問題1,漂い,
応募作品を厳正に審査した。,N1 2014-12 言語知識 問題1,厳正,
これ以上拒んでもしかたない。,N1 2014-12 言語知識 問題1,拒んで,
議会に提出された条例は、賛成多数で可決された。,N1 2014-12 言語知識 問題2,可決,
この国に来たころは、言葉も通じず知人もいなくて、とても心細い気持ちになったものだ。,N1 2014-12 言語知識 問題2,心細い,
A社は銀行からの支援によって経営の悪化を何とか食い止めることができた。,N1 2014-12 言語知識 問題2,食い止める,
この会社の営業部では、社員一人一人に毎週厳しいノルマが課されている。,N1 2014-12 言語知識 問題2,ノルマ,
今日の対談は、サッカー選手と物理学者という異色の組み合わせで行われる。,N1 2014-12 言語知識 問題2,異色,
この美しい映像は、コンピュータの最新技術を駆使して作られたものだ。,N1 2014-12 言語知識 問題2,駆使,
この数年で数々の食品問題が発覚し、食の安全に対する信頼が揺らぎはじめた。,N1 2014-12 言語知識 問題2,揺らぎ,
そのことが一番気掛かりでした。,N1 2014-12 言語知識 問題3,気掛かり,
そのことが一番心配でした。,N1 2014-12 言語知識 問題3,心配,
案の定、川西さんは来なかった。,N1 2014-12 言語知識 問題3,案の定,
やはり、川西さんは来なかった。,N1 2014-12 言語知識 問題3,やはり,
公の場で不用意な発言はしないでほしい。,N1 2014-12 言語知識 問題3,不用意な,
公の場で不注意な発言はしないでほしい。,N1 2014-12 言語知識 問題3,不注意な,
これはかなり厄介な問題だ。,N1 2014-12 言語知識 問題3,厄介な,
これはかなり面倒な問題だ。,N1 2014-12 言語知識 問題3,面倒な,
山田氏は当時のことを回想して次のように語った。,N1 2014-12 言語知識 問題3,回想して,
山田氏は当時のことを思い返して次のように語った。,N1 2014-12 言語知識 問題3,思い返して,
これは手分けしたほうがいい。,N1 2014-12 言語知識 問題3,手分け,
これは分担したほうがいい。,N1 2014-12 言語知識 問題3,分担,
問題が生じたら、一人で抱え込まず、上司や同僚に相談するといい。,N1 2014-12 言語知識 問題4,抱え込ま,
前向きな言葉とは裏腹に課長の態度は消極的で、計画は一向に進まない。,N1 2014-12 言語知識 問題4,裏腹,
今年の夏は例年になく気温が上がり、毎日耐えがたい暑さが続いている。,N1 2014-12 言語知識 問題4,耐えがたい,
私は企業で薬品の開発に携わっており、日々研究に追われている。,N1 2014-12 言語知識 問題4,携わって,
村田さんが自分の会社を持てたのは、これまで人一倍努力してきたからだ。,N1 2014-12 言語知識 問題4,人一倍,
昨夜から停電が続いていたが、先ほど12時間振りにようやく復旧した。,N1 2014-12 言語知識 問題4,復旧,
