sentence,source,recognitionTarget,jmdictId
珍しいイベントがあると聞いて、広場に群衆が押し寄せた。,N1 2012-07 言語知識 問題1,群衆,
これまでの学説を覆すような新事実が発見された。,N1 2012-07 言語知識 問題1,覆す,
この文書には、当時の生活の様子が克明に記録されている。,N1 2012-07 言語知識 問題1,克明,
窓を開けると、心地よい風が入ってきた。,N1 2012-07 言語知識 問題1,心地よい,1360830
新社長は、これまでの経営方針を踏襲すると述べた。,N1 2012-07 言語知識 問題1,踏襲,
新しい政権には、医療制度の改革が期待されている。,N1 2012-07 言語知識 問題1,改革,
この本は内容が難しすぎて、初心者にはハードルが高いと思う。,N1 2012-07 言語知識 問題2,ハードル,
プランの大筋はすでに固まっています。,N1 2012-07 言語知識 問題2,大筋,
本書の改訂版は、9月上旬に発売の予定です。,N1 2012-07 言語知識 問題2,版,
システムトラブルの原因を徹底的に究明し、再発防止に取り組みたい。,N1 2012-07 言語知識 問題2,究明,
カタカナの「ソ」と「リ」はまぎらわしいので、名前を書くときは気をつけてください。,N1 2012-07 言語知識 問題2,まぎらわしい,
この業者は魚を缶詰に加工し、それを海外に輸出している。,N1 2012-07 言語知識 問題2,加工,
市役所のロビーで、アマチュア写真家による写真展が催されています。,N1 2012-07 言語知識 問題2,催されて,
山田先生に触発されて、画家の道を志しました。,N1 2012-07 言語知識 問題3,触発されて,
山田先生に刺激を受けて、画家の道を志しました。,N1 2012-07 言語知識 問題3,刺激を受けて,
試合後のインタビューで、選手たちはすがすがしい表情で質問に答えていた。,N1 2012-07 言語知識 問題3,すがすがしい,
試合後のインタビューで、選手たちはさわやかな表情で質問に答えていた。,N1 2012-07 言語知識 問題3,さわやかな,
その部屋にある家具は、どれも簡素なデザインのものだった。,N1 2012-07 言語知識 問題3,簡素な,
その部屋にある家具は、どれもシンプルなデザインのものだった。,N1 2012-07 言語知識 問題3,シンプルな,
彼の誕生日パーティーの準備を、友人数人とひそかに進めている。,N1 2012-07 言語知識 問題3,ひそかに,
彼の誕生日パーティーの準備を、友人数人とこっそり進めている。,N1 2012-07 言語知識 問題3,こっそり,
高橋選手は今年の大会への参加を断念したらしい。,N1 2012-07 言語知識 問題3,断念した,
高橋選手は今年の大会への参加をあきらめたらしい。,N1 2012-07 言語知識 問題3,あきらめた,1436730
努力をすればおのずと結果に表れてくる。,N1 2012-07 言語知識 問題3,おのずと,
努力をすれば自然に結果に表れてくる。,N1 2012-07 言語知識 問題3,自然に,1318090
入学試験の成績優秀者は、入学金が免除になります。,N1 2012-07 言語知識 問題4,免除,
2年のブランクがあり心配だったが、先月から職場に復帰した。,N1 2012-07 言語知識 問題4,ブランク,
成功を勝ち取るためには、日々の努力を怠ってはいけない。,N1 2012-07 言語知識 問題4,怠って,
田中さんは、来週には退院の見込みです。,N1 2012-07 言語知識 問題4,見込み,
私が生まれたのは、人口500人に満たない小さな村です。,N1 2012-07 言語知識 問題4,満たない,
この国は世界でも有数の小麦生産国だ。,N1 2012-07 言語知識 問題4,有数,
