sentence,source,recognitionTarget,jmdictId
思わぬ出来事に、周りが騒然としていた。,N1 2023-07 言語知識 問題1,騒然,
西村さんはいたずらした子供を優しく諭した。,N1 2023-07 言語知識 問題1,諭した,
社会生活を送る上で、秩序を守ることは重要だ。,N1 2023-07 言語知識 問題1,秩序,
このあたりに犯人が潜伏しているという情報が入った。,N1 2023-07 言語知識 問題1,潜伏,
アナウンサーの朗らかな声が響いた。,N1 2023-07 言語知識 問題1,朗らか,
新しい市長は地域文化の振興に力を入れている。,N1 2023-07 言語知識 問題1,振興,
今は両親と暮らしているが卒業して就職したら、家を出て自立したいと思っている。,N1 2023-07 言語知識 問題2,自立,
この企業は、売り上げの一部を町に寄付することで町の人々に利益を還元している。,N1 2023-07 言語知識 問題2,還元,
今日は朝から空がどんよりと曇っていて、今にも雨が降り出しそうだ。,N1 2023-07 言語知識 問題2,どんより,
この生産管理のシステムは、維持費の高さがネックになってなかなか普及しない。,N1 2023-07 言語知識 問題2,ネック,
大きな声で歌うと、ストレスの発散になって気分がすっきりする。,N1 2023-07 言語知識 問題2,発散,
この二つの漢字はよく似ていてまぎらわしいので、読み間違えることがある。,N1 2023-07 言語知識 問題2,まぎらわしい,
この店は細かいところまで掃除が行き届いていて、清潔だ。,N1 2023-07 言語知識 問題2,行き届いて,
この条約は締結されると、農業に影響が出ることが懸念される。,N1 2023-07 言語知識 問題3,懸念,
この条約は締結されると、農業に影響が出ることが心配される。,N1 2023-07 言語知識 問題3,心配,
久しぶりに会った友人は何だかやつれているようだった。,N1 2023-07 言語知識 問題3,やつれて,
久しぶりに会った友人は何だかやせ衰えているようだった。,N1 2023-07 言語知識 問題3,やせ衰えて,
彼が奮闘している姿を見て、力を貸そうと思った。,N1 2023-07 言語知識 問題3,奮闘して,
彼が必死に頑張っている姿を見て、力を貸そうと思った。,N1 2023-07 言語知識 問題3,必死に頑張って,
あれは不慮の事故だったとしか言いようがない。,N1 2023-07 言語知識 問題3,不慮の,
あれは思いがけない事故だったとしか言いようがない。,N1 2023-07 言語知識 問題3,思いがけない,
倉庫の品物を根こそぎ持っていかれた。,N1 2023-07 言語知識 問題3,根こそぎ,
倉庫の品物をすべて持っていかれた。,N1 2023-07 言語知識 問題3,すべて,
若いころ私は、商品開発の仕事に没頭していた。,N1 2023-07 言語知識 問題3,没頭して,
若いころ私は、商品開発の仕事に熱中していた。,N1 2023-07 言語知識 問題3,熱中して,
今年になっても景気がよくなる兆しが見られない。,N1 2023-07 言語知識 問題4,兆し,
このコンサートホールは500人の観客を収容することができる。,N1 2023-07 言語知識 問題4,収容,
コーヒーを飲んだら、目がさえてしまって、眠れない。,N1 2023-07 言語知識 問題4,目がさえる,1911790
その映画は評論家から痛烈な批判を受けた。,N1 2023-07 言語知識 問題4,痛烈,
3年間続いた連載小説が、いよいよ次回で完結する。,N1 2023-07 言語知識 問題4,完結,
ここは古い住宅で、壁がもろくなっているため、立ち入り禁止だ。,N1 2023-07 言語知識 問題4,もろく,
