sentence,source,recognitionTarget,jmdictId
申込書にパスポートのコピーを添付した。,N1 2015-07 言語知識 問題1,添付した,
学生に慕われる教師になりたい。,N1 2015-07 言語知識 問題1,慕われる,
商品に破損があった場合は交換いたします。,N1 2015-07 言語知識 問題1,破損,
この件は、すでに部長の承諾を得ている。,N1 2015-07 言語知識 問題1,承諾,
庭に淡いとピンクの花が咲いている。,N1 2015-07 言語知識 問題1,淡い,
個々の事情を考えず、画一的に判断するのはよくない。,N1 2015-07 言語知識 問題1,画一,
現在、工場にあるすべての機械を24時間稼働させて、生産量を増やしている。,N1 2015-07 言語知識 問題2,稼働,
世界中でインターネットの利用者数がすさまじい勢いで伸びている。,N1 2015-07 言語知識 問題2,すさまじい,
海外に赴任したときは、言葉や習慣の違いから様々な困難に直面した。,N1 2015-07 言語知識 問題2,直面,1431540
失敗は誰にでもあるのだから、いつまでもくよくよしていないで、元気を出してよ。,N1 2015-07 言語知識 問題2,くよくよ,
二つの発表は優劣をつけがたいが、しいて選ぶなら後者のほうだ。,N1 2015-07 言語知識 問題2,しいて,
以下の条件に一つでも該当する人は、必ず事務室に申し出てください。,N1 2015-07 言語知識 問題2,該当,
机の上に置いたはずのレポートが見つからないが、ほかの書類や資料に紛れてしまったのだろうか。,N1 2015-07 言語知識 問題2,紛れて,
作品が仕上がったら知らせてください。,N1 2015-07 言語知識 問題3,仕上がったら,
作品が完成したら知らせてください。,N1 2015-07 言語知識 問題3,完成したら,
両チームの力は互角だ。,N1 2015-07 言語知識 問題3,互角,
両チームの力は大体同じだだ。,N1 2015-07 言語知識 問題3,大体同じだ,
お客様からのクレームに対応するのが鈴木さんの仕事です。,N1 2015-07 言語知識 問題3,クレーム,1045270
お客様からの苦情に対応するのが鈴木さんの仕事です。,N1 2015-07 言語知識 問題3,苦情,
私は職業柄、様々な企業からビジネスに関する助言を求められる。,N1 2015-07 言語知識 問題3,助言,
私は職業柄、様々な企業からビジネスに関するアドバイスを求められる。,N1 2015-07 言語知識 問題3,アドバイス,
そんなことを言われたら、佐藤さんが錯覚のもしかたがない。,N1 2015-07 言語知識 問題3,錯覚,
そんなことを言われたら、佐藤さんが勘違いするのもしかたがない。,N1 2015-07 言語知識 問題3,勘違いする,
観光客が殺到した理由は、そのニュース報道にあったらしい。,N1 2015-07 言語知識 問題3,殺到,
観光客が一度に大勢来たした理由は、そのニュース報道にあったらしい。,N1 2015-07 言語知識 問題3,一度に大勢来た,
大学院時代は、寝る間も惜しんで専門分野の研究に没頭していた。,N1 2015-07 言語知識 問題4,没頭,
祭りの準備には人手が要るので、手伝ってくれる人を探している。,N1 2015-07 言語知識 問題4,人手,2825953
これは長い間の習慣だから、今更変えるように言われても難しい。,N1 2015-07 言語知識 問題4,今更,
家中をくまなく探したが、結局、鍵は見つからなかった。,N1 2015-07 言語知識 問題4,くまなく,
熱が高いときは、無理をしないで安静にしていてください。,N1 2015-07 言語知識 問題4,安静,
来年度から、関連部門を統合して、運営体制を再編することになった。,N1 2015-07 言語知識 問題4,統合,
