sentence,source,recognitionTarget,jmdictId
決勝の素晴らしい試合に観客は興奮した。,N1 2015-12 言語知識 問題1,興奮,
この説は、鈴木氏が30年前に初めて唱えた。,N1 2015-12 言語知識 問題1,唱えた,
この地域における主要な産業の変遷について調べた。,N1 2015-12 言語知識 問題1,変遷,
藤さんの日々の努力は尊敬に値する。,N1 2015-12 言語知識 問題1,値する,
応募は随時受け付けています。,N1 2015-12 言語知識 問題1,随時,
優勝を目指してこれからも練習に励んでいきます。,N1 2015-12 言語知識 問題1,励ん,
何度も交渉した末に、ようやく両社は合意して、契約が成立した。,N1 2015-12 言語知識 問題2,合意,
鈴木選手の活躍は、テレビや新聞など、様々なメディアで紹介された。,N1 2015-12 言語知識 問題2,メディア,
来週の研修会への参加は、強制はしませんので、希望者の申し込んでください。,N1 2015-12 言語知識 問題2,強制,
高橋さんは明るくておおらかだから、そんな細かいことは気にしないと思うよ。,N1 2015-12 言語知識 問題2,おおらか,
この歌は、子供からお年寄りまで幅広い年齢層に親しまれている。,N1 2015-12 言語知識 問題2,幅広い,
この小説の主人公は、非常に感情の起伏が激しい人物だと思う。,N1 2015-12 言語知識 問題2,起伏,
森さんは、その話を聞いた時は動揺していたが、次第にいつもの冷静さを取り戻した。,N1 2015-12 言語知識 問題2,取り戻した,
林さんは必死に弁解していた。,N1 2015-12 言語知識 問題3,弁解して,
林さんは必死に言い訳していた。,N1 2015-12 言語知識 問題3,言い訳して,
今日の会議で提案された企画はありふれたものが多かった。,N1 2015-12 言語知識 問題3,ありふれた,
今日の会議で提案された企画は平凡なものが多かった。,N1 2015-12 言語知識 問題3,平凡な,
高橋さんはどんな事態にも、うろたえずに対処した。,N1 2015-12 言語知識 問題3,うろたえずに,
高橋さんはどんな事態にも、慌てずに対処した。,N1 2015-12 言語知識 問題3,慌てずに,
鈴木さんの一言が問題解決の糸口になった。,N1 2015-12 言語知識 問題3,糸口,
鈴木さんの一言が問題解決のヒントになった。,N1 2015-12 言語知識 問題3,ヒント,
昨夜、佐藤さんがふいに訪ねてきた。,N1 2015-12 言語知識 問題3,ふいに,
昨夜、佐藤さんが突然訪ねてきた。,N1 2015-12 言語知識 問題3,突然,
あの人は誇張して話すことが多い。,N1 2015-12 言語知識 問題3,誇張して,
あの人は大げさに話すことが多い。,N1 2015-12 言語知識 問題3,大げさに,
社長は会見を聞き、今回の問題の責任をとって辞任する意向を表明した。,N1 2015-12 言語知識 問題4,辞任,
この計画は、最初はちょっとしたアイディアだったが、ようやく現実味を帯びてきた。,N1 2015-12 言語知識 問題4,帯びて,
景気がさらに悪化したため、経営を縮小する方向に軌道を修正することにした。,N1 2015-12 言語知識 問題4,軌道,
林さんは何かに深く悩んでいるようで、ずっと思い詰めて表情をしている。,N1 2015-12 言語知識 問題4,思い詰めて,
現代の広告業界において、これまでの手法はもはや通用しないだろう。,N1 2015-12 言語知識 問題4,もはや,
この辺りの建物はかなり老朽化が進んでおり、破損や劣化がはなはだしい。,N1 2015-12 言語知識 問題4,はなはだしい,
