sentence,source,recognitionTarget,jmdictId
彼はその話を披露するチャンスをうかがっていたようだ。,N1 2019-12 言語知識 問題1,披露,
力を入れたら砕けてしまった。,N1 2019-12 言語知識 問題1,砕けて,
年を取って、物に執着する気持ちが少なくなった。,N1 2019-12 言語知識 問題1,執着,
債務の状況を確かめる,N1 2019-12 言語知識 問題1,債務,
鈴木氏の研究は物理学の発展に大いに貢献した。,N1 2019-12 言語知識 問題1,貢献,
昨日の彼の態度は、実に潔いものだった。,N1 2019-12 言語知識 問題1,潔い,
森選手は記者会見で今シーズン限りで引退することを表明した。,N1 2019-12 言語知識 問題2,表明,
政治家の高木氏は、全国各地を飛び回って精力的に講演を行い、政策の支持を呼び掛けた。,N1 2019-12 言語知識 問題2,精力的に,
友人に預けてきたペットのことが気がかりで、旅行はあまり楽しめなかった。,N1 2019-12 言語知識 問題2,気がかり,
この1年間の市の人口の推移を示したものです。,N1 2019-12 言語知識 問題2,推移,
予算が減らされたことにより、その事業は継続が危ぶまれている。,N1 2019-12 言語知識 問題2,危ぶまれて,
この箱の中には本が詰まっていて、ずっしりと重い。,N1 2019-12 言語知識 問題2,ずっしりと,
二つの商品を並べると、それらの違いは歴然としていて、片方は偽物だとすぐに分かる。,N1 2019-12 言語知識 問題2,歴然,
新人でいきなり主役に選ばれるのは異例のことだよ。,N1 2019-12 言語知識 問題3,異例,
新人でいきなり主役に選ばれるのは珍しいのことだよ。,N1 2019-12 言語知識 問題3,珍しい,
木村さんは新しい薬を開発するための実験に打ち込んだ。,N1 2019-12 言語知識 問題3,打ち込んだ,1581440
木村さんは新しい薬を開発するための実験に熱中した。,N1 2019-12 言語知識 問題3,熱中した,
池田さんはお金に関してルーズな人だ。,N1 2019-12 言語知識 問題3,ルーズ,
池田さんはお金に関してだらしないな人だ。,N1 2019-12 言語知識 問題3,だらしない,
祖父は学生時代に体験した不思議な出来事をつぶさに語って聞かせてくれた。,N1 2019-12 言語知識 問題3,つぶさに,
祖父は学生時代に体験した不思議な出来事を詳細に語って聞かせてくれた。,N1 2019-12 言語知識 問題3,詳細に,
高橋さんの話は脈絡がない。,N1 2019-12 言語知識 問題3,脈絡,
高橋さんの話はつながりがない。,N1 2019-12 言語知識 問題3,つながり,
次の会議で新しいプロジェクトについて吟味することになっている。,N1 2019-12 言語知識 問題3,吟味,
次の会議で新しいプロジェクトについて検討することになっている。,N1 2019-12 言語知識 問題3,検討,
市民の要望で、交通量の多い道に新たに道路標識が設置された。,N1 2019-12 言語知識 問題4,要望,
これまでの定説を覆すような新しい研究結果が発表された。,N1 2019-12 言語知識 問題4,覆す,
駅前のスーパーは安いと評判で、とても繁盛している。,N1 2019-12 言語知識 問題4,繁盛,
失敗してくじけそうになった時、親友が励ましてくれた。,N1 2019-12 言語知識 問題4,くじけ,
転んでもゴールに向かって走り続ける少女のひたむきな姿に感動した。,N1 2019-12 言語知識 問題4,ひたむき,
決勝に残った選手たちの実力は互角だから、誰が優勝するか分からない。,N1 2019-12 言語知識 問題4,互角,
