sentence,source,recognitionTarget,jmdictId
チームの新しい監督が決まった。,N1 2022-12 言語知識 問題1,監督,
これは、外国語から派生した言葉です。,N1 2022-12 言語知識 問題1,派生,
文字が透けている。,N1 2022-12 言語知識 問題1,透けて,
この村は湖の恩恵を受けている。,N1 2022-12 言語知識 問題1,恩恵,
厳しい練習に臨む選手たちの姿を目にした。,N1 2022-12 言語知識 問題1,臨む,
調査データは、地球の温暖化を如実に示した。,N1 2022-12 言語知識 問題1,如実,
被害者について報道するときは、仮名を用いてプライバシーを保護している。,N1 2022-12 言語知識 問題2,保護,
この模型は、実際にあった建物を20分の1の大きさで忠実に再現した物だ。,N1 2022-12 言語知識 問題2,忠実に,1012210
川の水が澄んでいてきれいだったので、両手ですくって、顔を洗った。,N1 2022-12 言語知識 問題2,すくって,1226200
一生懸命働いて、ついに念願のマイホームを手に入れた。,N1 2022-12 言語知識 問題2,念願,
きれいな写真を撮るためには、まずカメラのピントを合わせることが大切です。,N1 2022-12 言語知識 問題2,ピントを合わせる,2675580
全国大会は初出場だったが、厳しい試合を勝ち抜いて何とか上位に食い込んだ。,N1 2022-12 言語知識 問題2,食い込んだ,
道案内をしてくれたので、てっきり地元の人かと思ったら、実は観光客だった。,N1 2022-12 言語知識 問題2,てっきり,
必要な資金を調達した。,N1 2022-12 言語知識 問題3,調達した,
必要な資金を用意した。,N1 2022-12 言語知識 問題3,用意した,
山田さんは温和な性格だ。,N1 2022-12 言語知識 問題3,温和,
山田さんはおだやかな性格だ。,N1 2022-12 言語知識 問題3,おだやか,
おすすめのスポットを教えてください。,N1 2022-12 言語知識 問題3,スポット,
おすすめの場所を教えてください。,N1 2022-12 言語知識 問題3,場所,
各国のチームの実力は拮抗している。,N1 2022-12 言語知識 問題3,拮抗,
各国のチームの実力は差がないしている。,N1 2022-12 言語知識 問題3,差がない,
住民からの風当たりが相当なものだった。,N1 2022-12 言語知識 問題3,風当たり,
住民からの批判が相当なものだった。,N1 2022-12 言語知識 問題3,批判,
カメラは子供たちのあどけない表情を捉えていた。,N1 2022-12 言語知識 問題3,あどけない,
カメラは子供たちの無邪気な表情を捉えていた。,N1 2022-12 言語知識 問題3,無邪気な,
好評により注文が殺到していて、商品の出荷が遅れている。,N1 2022-12 言語知識 問題4,出荷,
新しいテレビを買ったので、古いテレビを友人に譲った。,N1 2022-12 言語知識 問題4,譲った,
彼は目立たない存在だが、大事な場面での底力はすごい。,N1 2022-12 言語知識 問題4,底力,
あの歌手は若い人たちに絶大な人気がある。,N1 2022-12 言語知識 問題4,絶大,
仕事で手痛いミスをして、周りに迷惑をかけた。,N1 2022-12 言語知識 問題4,手痛い,
議会は町の経済を活性化させるために、工場を誘致することを決めた。,N1 2022-12 言語知識 問題4,誘致,
