sentence,source,recognitionTarget,jmdictId
話しが本筋からずれてしまった。,N1 2010-12 言語知識 問題1,本筋,
友人にピアノの伴奏を頼まれた。,N1 2010-12 言語知識 問題1,伴奏,
名探偵の推理で事件は無事に解決した。,N1 2010-12 言語知識 問題1,推理,
先日の会議では、極めて重要な問題が話し合われた。,N1 2010-12 言語知識 問題1,極めて,
もう少しアイディアを練ってからお話しします。,N1 2010-12 言語知識 問題1,練って,
靴のひもを締めた。,N1 2010-12 言語知識 問題1,締めた,
各国のテレビがそのニュースを報じた。,N1 2010-12 言語知識 問題2,報じた,
森林伐採が環境に及ぼす影響は大きい。,N1 2010-12 言語知識 問題2,及ぼす,
吉田さんは弁護士として20年ものキャリアを積んできた。,N1 2010-12 言語知識 問題2,キャリア,1041980
この小説の主人公は、歴史上の人物をモデルにしている。,N1 2010-12 言語知識 問題2,上,1352170
交渉が円滑に進み、無事に契約することができた。,N1 2010-12 言語知識 問題2,円滑に,
次の大会に向けて、チームの結束を強めよう。,N1 2010-12 言語知識 問題2,結束,
その企業は巨大な資本を背景に、海外の市場に進出した。,N1 2010-12 言語知識 問題2,背景,
今回の研修会は、出席者がまばらだった。,N1 2010-12 言語知識 問題3,まばらだった,
今回の研修会は、出席者が少なかった。,N1 2010-12 言語知識 問題3,少なかった,
昨日は一日中どんよりした天気だった。,N1 2010-12 言語知識 問題3,どんよりした,
昨日は一日中曇っていて暗かった天気だった。,N1 2010-12 言語知識 問題3,曇っていて暗かった,
父は毎朝、丹念に新聞に目を通す,N1 2010-12 言語知識 問題3,丹念に,
父は毎朝、じっくりと新聞に目を通す,N1 2010-12 言語知識 問題3,じっくりと,
最近、仕事がはかどっている,N1 2010-12 言語知識 問題3,はかどっている,
最近、仕事が順調に進んでいる,N1 2010-12 言語知識 問題3,順調に進んでいる,
検討の結果、この計画は見合わせることになりました。,N1 2010-12 言語知識 問題3,見合わせる,
検討の結果、この計画は中止することになりました。,N1 2010-12 言語知識 問題3,中止する,
激しい雨のため、やむをえず試合は延期することになった。,N1 2010-12 言語知識 問題3,やむをえず,
激しい雨のため、しかたなく試合は延期することになった。,N1 2010-12 言語知識 問題3,しかたなく,
新しい事業のために、資金を調達しなければならない。,N1 2010-12 言語知識 問題4,調達,
美術品の運搬には、細心の注意を払う必要がある。,N1 2010-12 言語知識 問題4,細心,
そう意地を張らずに、素直に謝ったほうがいいよ。,N1 2010-12 言語知識 問題4,意地,
水泳教室に通ったおかげで、めきめき上達した。,N1 2010-12 言語知識 問題4,めきめき,
目先の利益を追うのではなく、会社の将来を考えるべきだ。,N1 2010-12 言語知識 問題4,目先,
メールが多すぎて、重要な連絡を見落としていた。,N1 2010-12 言語知識 問題4,見落とし,
