sentence,source,recognitionTarget,jmdictId
時間があつにつれて、選手の動きが鈍ってきた。,N1 2011-12 言語知識 問題1,鈍って,
高校生のごる、「将来は海外で動きたい」と漠然と考えていた。,N1 2011-12 言語知識 問題1,漠然,
閲覧した資料は、カワンクーに戻してください。,N1 2011-12 言語知識 問題1,閲覧,
首相は自身の発言についての釈明におわれた。,N1 2011-12 言語知識 問題1,釈明,
弊社は今回の合併を機に社名を変更します。,N1 2011-12 言語知識 問題1,合併,
ようや景気回復の兆しが見えてきた。,N1 2011-12 言語知識 問題1,兆し,
大学をやめると言ったら、母に猛反対だれた。,N1 2011-12 言語知識 問題2,猛,
ぞんな軽装で冬の山に登るなんて、無謀だ。,N1 2011-12 言語知識 問題2,無謀,
今回の作品は、彼にとって会心の出来と言えるだろう。,N1 2011-12 言語知識 問題2,会心,
この言葉にわ、やや批判的なニュアンスが含まれている。,N1 2011-12 言語知識 問題2,ニュアンス,
この辺りは、高速道路と鉄道が並行して走っている。,N1 2011-12 言語知識 問題2,並行,
この文章は新聞記事からの抜粋です。,N1 2011-12 言語知識 問題2,抜粋,
コピー用紙のストックが減ったら、注文しておいてください。,N1 2011-12 言語知識 問題2,ストック,1071010
今日の会議で出た意見は、ありきたりのものが多かった。,N1 2011-12 言語知識 問題3,ありきたりの,1296390
今日の会議で出た意見は、平凡ものが多かった。,N1 2011-12 言語知識 問題3,平凡,
両チームの実力の差は歴然としている。,N1 2011-12 言語知識 問題3,歴然としている,
両チームの実力の差ははっきりしている。,N1 2011-12 言語知識 問題3,はっきりしている,
無駄な経費は極力減らそう。,N1 2011-12 言語知識 問題3,極力,
無駄な経費はできる限り減らそう。,N1 2011-12 言語知識 問題3,できる限り,
ぞの結果を聞いて落胆した。,N1 2011-12 言語知識 問題3,落胆した,
ぞの結果を聞いてがっかりした。,N1 2011-12 言語知識 問題3,がっかりした,
あの小説の結末はあっけないものだったらしい。,N1 2011-12 言語知識 問題3,あっけない,
あの小説の結末は意外につまらないものだったらしい。,N1 2011-12 言語知識 問題3,意外につまらない,
あのポスターは色のコントラストが印象的だ。,N1 2011-12 言語知識 問題3,コントラスト,
あのポスターは色の対比が印象的だ。,N1 2011-12 言語知識 問題3,対比,
山田さんならとっくに帰りました。,N1 2011-12 言語知識 問題4,とっくに,
うちの家族は夕食をとる時間なまちまちだ。,N1 2011-12 言語知識 問題4,まちまち,1604010
子供が生まれてからは経済的にゆとりがなくなった。,N1 2011-12 言語知識 問題4,ゆとり,1013070
あの店では今、化粧品の無料サンプルを配布している。,N1 2011-12 言語知識 問題4,配布,
無駄なものは買わずに、質素な生活を送っている。,N1 2011-12 言語知識 問題4,質素,
よそ見をしながら歩いていから、友達を見失ってしまった。,N1 2011-12 言語知識 問題4,見失って,
