sentence,source,recognitionTarget,jmdictId
この棚は頑丈に作られている。,N1 2025-12 言語知識 問題1,頑丈,
思わぬところに深刻な問題が潜んでいた。,N1 2025-12 言語知識 問題1,潜んで,
私は行政の仕事に携わっている。,N1 2025-12 言語知識 問題1,行政,
中村氏は大学時代にその卓越した才能を開花させた。,N1 2025-12 言語知識 問題1,卓越,
最近は会社の営業成績が芳しいない。,N1 2025-12 言語知識 問題1,芳しいない,
その件は市民生活課の管轄です。,N1 2025-12 言語知識 問題1,管轄,
この学校では教育活動の一環として、生徒に学校周辺のゴミ拾いをさせている。,N1 2025-12 言語知識 問題2,一環,
試合の前半はAチームは1点リードしていたが、後半2点取られて逆転された。,N1 2025-12 言語知識 問題2,リード,1140710
二人の若手ピアニストの実力は互角でコンクールでとちらが優勝するか予想がつかない。,N1 2025-12 言語知識 問題2,互角,
毎朝店長がアルバイトの店員にその日の仕事を割り当てる。,N1 2025-12 言語知識 問題2,割り当てる,
周到な準備して大会本番に臨むだ。,N1 2025-12 言語知識 問題2,周到な,
登山の途中で雨が降ってきたので、ひとまず近くの山小屋で休憩し、雨が止むのを待つことにした。,N1 2025-12 言語知識 問題2,ひとまず,
嫌なことがあって気分がむしゃくしゃしていたが、カラオケで大声で歌ったらすっきりした。,N1 2025-12 言語知識 問題2,むしゃくしゃ,
あまり誇張して話すのは良くない。,N1 2025-12 言語知識 問題3,誇張して,
あまりおおげさに話すのは良くない。,N1 2025-12 言語知識 問題3,おおげさに,
私たちはひそかに計画を進めていた。,N1 2025-12 言語知識 問題3,ひそかに,
私たちはこっそり計画を進めていた。,N1 2025-12 言語知識 問題3,こっそり,
この大会に出場するまでに多くの試練があった。,N1 2025-12 言語知識 問題3,試練,
この大会に出場するまでに多くの苦難があった。,N1 2025-12 言語知識 問題3,苦難,
山口さんがうろたえる姿を初めて見た。,N1 2025-12 言語知識 問題3,うろたえる,
山口さんが慌てる姿を初めて見た。,N1 2025-12 言語知識 問題3,慌てる,
今後、同様のこうが起きることは当面ないだろう。,N1 2025-12 言語知識 問題3,当面,
今後、同様のこうが起きることはしばらくないだろう。,N1 2025-12 言語知識 問題3,しばらく,
衣装はいつも自前である。,N1 2025-12 言語知識 問題3,自前である,
衣装はいつも自分で買う。,N1 2025-12 言語知識 問題3,自分で買う,
会社の資金をどう運用するかで、社長と会長の意見が分かれている。,N1 2025-12 言語知識 問題4,運用,
工場への立ち入り検査は、抜き打ちで実施された。,N1 2025-12 言語知識 問題4,抜き打ち,
<ruby>小林<rt>こばやし</rt></ruby>さんは風邪をひいているのか声がかすれていて、話が聞き取りにくい。,N1 2025-12 言語知識 問題4,かすれて,
緻密な観察が新しい微生物の発見につながった。,N1 2025-12 言語知識 問題4,緻密,
初めて動物園で見たライオンは、体が大きくて迫力があった。,N1 2025-12 言語知識 問題4,迫力,
新しいものが目まくるしい入れ替わっている,N1 2025-12 言語知識 問題4,目まくるしい,
